State,Year,Adult.Obesity,Adult.Obesity*100,Average.Age,Average.Income,Population,Poverty.Rate,Poverty.Rate*100,Real.GDP,Real.GDP.Growth,Real.GDP.Growth*100,Real.Personal.Income,Region,Region.Encoding,Unit,Real.GDP.Per.Capita,YearFE
Maryland,2016,0.284000009,28.4,38.62510565,38550.89628,6016447,0.096631913,9.66,355075.3,0.0308,3.08,312328.3,Mideast Region,2,Millions of chained 2012 dollars,0.05901744,2016
Maryland,2017,0.289000005,28.9,38.85911631,40124.1792,6052177,0.092838937,9.28,362042.9,0.0196,1.96,315780.1,Mideast Region,2,Millions of chained 2012 dollars,0.059820276,2017
Massachusetts,2014,0.238000005,23.8,39.28877897,37529.06515,6745408,0.116324601,11.63,453478.8,0.0194,1.94,368188.7,New England Region,1,Millions of chained 2012 dollars,0.067227779,2014
Massachusetts,2015,0.238999993,23.9,39.44690836,38196.42429,6794422,0.114667274,11.47,469770.2,0.0359,3.59,390534.7,New England Region,1,Millions of chained 2012 dollars,0.069140569,2015
Massachusetts,2016,0.237000003,23.7,39.6220403,39733.95847,6811779,0.104437328,10.44,477857,0.0172,1.72,398658.9,New England Region,1,Millions of chained 2012 dollars,0.070151571,2016
Massachusetts,2017,0.240999997,24.1,39.79085192,41926.48685,6859819,0.104523496,10.45,488338.6,0.0219,2.19,411236,New England Region,1,Millions of chained 2012 dollars,0.071188263,2017
Michigan,2014,0.316000015,31.6,39.14382338,26650.06738,9909877,0.161957107,16.20,430501,0.0146,1.46,425385.8,Great Lakes Region,3,Millions of chained 2012 dollars,0.043441609,2014
Michigan,2015,0.316000015,31.6,39.29560519,27743.0273,9922576,0.157721442,15.77,440310.3,0.0228,2.28,452049.4,Great Lakes Region,3,Millions of chained 2012 dollars,0.044374596,2015
Michigan,2016,0.31400001,31.4,39.47626472,29137.98101,9928300,0.149648316,14.96,448713.4,0.0191,1.91,462866.1,Great Lakes Region,3,Millions of chained 2012 dollars,0.045195391,2016
Michigan,2017,0.31400001,31.4,39.68072719,30411.4715,9962311,0.141596811,14.16,456003.8,0.0163,1.63,470290.2,Great Lakes Region,3,Millions of chained 2012 dollars,0.045772893,2017
Minnesota,2014,0.25999999,26,38.20595187,32634.58136,5457173,0.114645671,11.46,308197.3,0.0252,2.52,273612,Plains Region,4,Millions of chained 2012 dollars,0.056475633,2014
Minnesota,2015,0.259000003,25.9,38.40752303,33661.57006,5489594,0.10182082,10.18,311336.1,0.0102,1.02,286901.3,Plains Region,4,Millions of chained 2012 dollars,0.056713866,2015
Minnesota,2016,0.263000011,26.3,38.56953593,34847.0616,5519952,0.098821373,9.88,317617.8,0.0202,2.02,291114.9,Plains Region,4,Millions of chained 2012 dollars,0.057539957,2016
Minnesota,2017,0.270000011,27,38.63524445,35944.1087,5576606,0.094939586,9.49,324264.1,0.0209,2.09,297250.9,Plains Region,4,Millions of chained 2012 dollars,0.058147214,2017
Mississippi,2014,0.356000006,35.6,37.43488599,20921.01566,2994079,0.215202713,21.52,99430.4,-0.0019,-0.19,116791.9,Southeast Region,5,Millions of chained 2012 dollars,0.03320901,2014
Mississippi,2015,0.352999985,35.3,37.63013642,21243.14963,2992333,0.219958786,22.00,99779.6,0.0035,0.35,118098.2,Southeast Region,5,Millions of chained 2012 dollars,0.033345086,2015
Mississippi,2016,0.352999985,35.3,37.83506886,23041.79294,2988726,0.208361592,20.84,100119.7,0.0034,0.34,118612.1,Southeast Region,5,Millions of chained 2012 dollars,0.033499123,2016
Mississippi,2017,0.351999998,35.2,38.12018196,23124.98023,2984100,0.197663824,19.77,100590,0.0047,0.47,120168.1,Southeast Region,5,Millions of chained 2012 dollars,0.033708656,2017
